"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Africa";"468,178";"4";"117";"";""
"Asia";"9,301,372";"43";"1,593";"";""
"Europe";"1,566,580";"44";"813";"";""
"Latin America";"19,470,072";"54";"1,757";"";""
"Northern America";"810,513";"16";"448";"";""
"Oceania";"436,200";"4";"96";"";""
"";"";"";"";"";""
"Africa - Key Indicators per Country";"";"";"";"";""
"Countries";"Passengers per Day";"Number of Cities";"Length km";"";""
"";"";"";"";"";""
"Nigeria";"200,000";"1";"22 km";"";""
"South Africa";"108,178";"2";"74 km";"";""
"Tanzania";"160,000";"1";"21 km";"";""
"";"";"";"";"";""
"Nigeria - Key Indicators per City";"";"";"";"";""
"Cities";"Passengers per Day";"Number of Corridors";"Length km";"";""
"";"";"";"";"";""
"Lagos";"200,000";"1";"22 km";"";" "
"";"";"";"";"";""
"Lagos - System Indicators";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"GDP per capita (US$)";"General info";"2,640";"2015";"http://databank.worldbank.org/data/reports.aspx?source=2&series=NY.GDP.PCAP.CD&country=";""
"Population, city";"General info";"22,583,305";"2014 (Projection based on population growth rate of 3.2% from Census 2006. Supplied by Lagos Bureau of Statistics)";"http://www.lagosstate.gov.ng/images/pageimages/downloadfiles/docs/DIGEST_OF_STATISTICS2011.pdf";""
"Population, metro area";"General info";"22,583,305";"2014 (Projection based on population growth rate of 3.2% from Census 2006. Supplied by Lagos Bureau of Statistics)";"http://www.lagosstate.gov.ng/images/pageimages/downloadfiles/docs/DIGEST_OF_STATISTICS2011.pdf";""
"Population density, metropolitan area";"General info";"11,009";"2012";"http://nigeria.prognoz.com/";""
"Modal split % public transport";"General info";"72";"2010";"http://staging.wider.unu.edu/climate2012/sites/default/files/Daramola_0.pdf";""
"Modal split % private transport";"General info";"15";"2010";"http://staging.wider.unu.edu/climate2012/sites/default/files/Daramola_0.pdf";""
"Modal split % non motorized";"General info";"14";"2010";"http://staging.wider.unu.edu/climate2012/sites/default/files/Daramola_0.pdf";""
"System name";"System info";"Lagos BRT";"";"";""
"Corridors";"System info";"1";"2011";"Moberola, Dayo, LAMATA, http://siteresources.worldbank.org/EXTAFRSUBSAHTRA/Resources/DP09-Lagos-BRT.pdf";""
"Year system commenced";"System info";"2008";"";"Viva 2010 ( http://www.uncrd.or.jp/env/5th-regional-est-forum/doc/08_Breakout%20Session2-B/BS2-B-6_BRT%20Trends.pdf ); Trans-Africa Consortium 2010 ; http://www.itdp.org/documents/st_magazine/ITDP-ST_Magazine-%20V%2020.pdf";""
"Transit agency";"System info";"Lagos Metropolitan Area Transport Authority";"2015";"http://www.lamata-ng.com/brt.php";""
"Standard fare (US$)";"System info";"0,97";"2017, corresponding from Ikorodu to CMS";"http://www.dailytrust.com.ng/news/city-news/lagos-approved-new-fare-for-brt-lagbus/185064.html";""
