"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";""
"Lima";"";"";"";""
"";"";"";"";""
"System Indicators";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source"
"GDP per capita (US$)";"General info";"6,122";"2015";"http://databank.worldbank.org/data/reports.aspx?source=2&series=NY.GDP.PCAP.CD&country="
"Population, city";"General info";"7,605,742";"";"Global Urban Indicator-Selected statistics"
"Population, metro area";"General info";"8,482,619";"2007";"Peru's, socio-demographic profile. Cesus 2007"
"Population density, metropolitan area";"General info";"3.008,8";"2007";"Peru's socio-demographic profile. Cesus 2007"
"Modal split % public transport";"General info";"62,0";"2004";"Urban Transport Master Plan For Limas's Metropolitan Area and Callao (2004)"
"Modal split % private transport";"General info";"12,0";"2004";"Urban Transport Master Plan For Limas's Metropolitan Area and Callao (2004)"
"Modal split % non motorized";"General info";"26,0";"2004";"Urban Transport Master Plan For Limas's Metropolitan Area and Callao (2004)"
"System name";"System info";"Metropolitano";"";""
"Corridors";"System info";"1";"";""
"Year system commenced";"System info";"1972";"";"Busway"
"Transit agency";"System info";"Instituto Metropolitano PROTRANSPORTE de Lima ";"";"http://www.protransporte.gob.pe"
"Standard fare (US$)";"System info";"0,74";"2015";"http://www.metropolitano.com.pe/index.php/como-usar-el-metropolitano/tarjeta/tipos-de-tarjeta"
"Annual fare revenue (US$ millions)";"System info";"54,50";"";"Calculated using annual demand and fare"
"Fare integration within the system";"System info";"Yes";"";"http://www.munlima.gob.pe/especiales/metropolitaNo/Contenidos/Targeta.aspx"
"Citywide fare integration (other modes)";"System info";"";"";""
"Integration terminals";"System info";"2";"";"http://www.munlima.gob.pe/especiales/metropolitano/Contenidos/Recorrido.aspx"
"Transfer stations";"System info";"2";"";"http://www.munlima.gob.pe/especiales/metropolitano/Contenidos/Recorrido.aspx"
"Peak load (passengers per hour per direction)";"System info";"22,800";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Daily demand (passengers per day)";"System info";"350,000";"";"Instituto Metropolitano PROTRANSPORTE de Lima "
"Annual demand (passengers per year)";"System info";"105,000,000";"";"Calculated using daily demand and 300 working days"
